Chper,Last,(Last-AvgLast)/AvgLast,RSI,Vol/AvgVol,MACD,Answer
-0.137,361,-0.001,0.609,1.203,15.773,0
-0.111,357,-0.015,0.579,1.143,14.348,0
0.056,359,-0.012,0.59,0.946,13.228,0
0.279,369,0.013,0.639,0.905,12.997,0
-0.19,362,-0.013,0.586,0.828,12.11,0
-0.221,354,-0.036,0.532,0.832,10.639,0
0.056,356,-0.027,0.543,0.699,9.525,0
-0.309,345,-0.051,0.475,0.692,7.665,0
0,345,-0.043,0.475,0.734,6.121,0
-0.203,338,-0.054,0.434,0.824,4.283,0
0.089,341,-0.038,0.456,0.836,3.034,0
-0.088,338,-0.041,0.438,0.799,1.781,0
0.207,345,-0.016,0.488,0.931,1.338,0
-0.058,343,-0.018,0.475,0.938,0.816,0
0.204,350,0.01,0.523,0.991,0.956,0
-0.286,340,-0.016,0.459,0.939,0.257,0
-0.235,332,-0.035,0.415,1.112,-0.932,0
-0.09,329,-0.037,0.399,1.191,-2.092,0
0.091,332,-0.024,0.422,1.13,-2.737,0
-0.06,330,-0.026,0.411,1.143,-3.372,0
0,330,-0.024,0.411,1.225,-3.831,0
-0.091,327,-0.029,0.392,1.182,-4.385,0
-0.092,324,-0.035,0.374,1.005,-5.009,0
-0.216,317,-0.05,0.336,1.005,-5.999,0
0.063,319,-0.037,0.356,0.971,-6.547,0
0.219,326,-0.006,0.423,0.894,-6.344,0
0.031,327,0.001,0.432,0.788,-6.032,0
-0.153,322,-0.013,0.399,0.775,-6.118,0
0.124,326,0.002,0.437,0.752,-5.796,0
0.153,331,0.019,0.481,0.745,-5.08,0
-0.181,325,0,0.437,0.718,-4.939,0
0.031,326,0.005,0.446,0.956,-4.692,0
-0.031,325,0.002,0.438,0.954,-4.526,0
-0.123,321,-0.01,0.408,1.054,-4.662,0
0.031,324,-0.002,0.439,1.077,-4.477,0
0.123,328,0.008,0.479,1.617,-3.962,1
0.061,330,0.014,0.498,1.193,-3.354,0
0.333,341,0.047,0.587,1.334,-1.962,0
-0.029,340,0.038,0.577,1.251,-0.928,0
-0.235,332,0.009,0.503,1.226,-0.746,0
0.06,334,0.015,0.519,0.884,-0.435,0
0.629,355,0.075,0.651,1.291,1.488,1
0.169,361,0.084,0.679,1.187,3.458,0
-0.249,352,0.046,0.603,1.317,4.243,0
